,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
62,10063,3/3/2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card
83,10084,3/24/2024,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card
98,10099,4/8/2024,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card
47,10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card
8,10009,1/9/2024,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card
164,10165,6/13/2024,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card
53,10054,2/23/2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card
56,10057,2/26/2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card
122,10123,5/2/2024,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card
32,10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card
5,10006,1/6/2024,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card
74,10075,3/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card
68,10069,3/9/2024,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card
165,10166,6/14/2024,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card
63,10064,3/4/2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card
92,10093,4/2/2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card
134,10135,5/14/2024,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card
158,10159,6/7/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card
54,10055,2/24/2024,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card
176,10177,6/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card
45,10046,2/15/2024,Books,Becoming by Michelle Obama,4,32.5,130.0,North America,Credit Card
131,10132,5/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card
75,10076,3/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card
38,10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card
33,10034,2/3/2024,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card
110,10111,4/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card
188,10189,7/7/2024,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card
87,10088,3/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card
230,10231,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card
117,10118,4/27/2024,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card
17,10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card
212,10213,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card
222,10223,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card
3,10004,1/4/2024,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
105,10106,4/15/2024,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card
60,10061,3/1/2024,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card
170,10171,6/19/2024,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card
225,10226,8/13/2024,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card
116,10117,4/26/2024,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card
93,10094,4/3/2024,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card
167,10168,6/16/2024,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card
11,10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card
67,10068,3/8/2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
233,10234,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card
57,10058,2/27/2024,Books,Educated by Tara Westover,3,28.0,84.0,North America,Credit Card
71,10072,3/12/2024,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card
159,10160,6/8/2024,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card
236,10237,8/24/2024,Clothing,Nike Air Force 1 Sneakers,3,90.0,270.0,Asia,Debit Card
237,10238,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card
135,10136,5/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card
77,10078,3/18/2024,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card
152,10153,6/1/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card
140,10141,5/20/2024,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card
81,10082,3/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card
147,10148,5/27/2024,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card
2,10003,1/3/2024,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
174,10175,6/23/2024,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card
27,10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card
207,10208,7/26/2024,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card
42,10043,2/12/2024,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card
123,10124,5/3/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card
